가까이	靠近	有時	結局	這些
흩어지다	分散	用功	堅硬	不會
희다	白色的	有力	慢	加上
희망자	有興趣者	犧牲	受害者	閣下
희생	犧牲	受害者	閣下	家
희생자	受害者	閣下	家	本人名義
힘껏	用力	無力地	是啊	哇
힘쓰다	用功	堅硬	不會	明亮的
힘없이	無力地	是啊	哇	比較
힘차다	有力	慢	加上	沒有
바	事	時	人	地
바가지	勺子	籃子	針	海水
바구니	籃子	針	海水	圍棋
바늘	針	海水	圍棋	希望
바닷물	海水	圍棋	希望	傻子
바둑	圍棋	希望	傻子	岩石
바람	希望	小提琴	褲子	博物館
바람직하다	可取的	端正	在深夜	餓
바래다주다	送回	擺好	供上	釘
바로잡다	擺好	供上	釘	丟掉
바르다	端正	收到	聽寫	學
바보	傻子	岩石	基礎	博士
바싹	乾	閃光	猛地	勤奮地
바위	岩石	基礎	博士	盒子
바치다	供上	看	釘	歡迎
바퀴	車輪	法律	部門	-點
바탕	基礎	博士	盒子	半價
박	泊	看	釘	歡迎
박다	釘	戲弄	歡迎	閃爍
박사	博士	盒子	半價	返還
박스	盒子	半價	返還	半月
박히다	釘	歡迎	閃爍	敵人
반값	半價	返還	半月	反義詞
반기다	歡迎	放棄	閃爍	談戀愛
반납	返還	半月	反義詞	對面
반달	半月	反義詞	對面	半語
반대말	反義詞	對面	半語	另一方面
반대쪽	對面	半語	另一方面	反對
반말	半語	另一方面	反對	重複
반면	另一方面	反對	重複	反省
반발	反對	重複	反省	反映
반복	重複	反省	反映	反應
반성	反省	反映	反應	班長
반영	反映	反應	班長	麵團
반응	反應	班長	麵團	OK繃
반장	班長	麵團	OK繃	短袖
반죽	麵團	OK繃	短袖	退貨
반짝거리다	閃爍	捕捉	談戀愛	吸納
반짝반짝	閃光	猛地	勤奮地	當然
반짝이다	閃爍	談戀愛	吸納	弄清
반창고	OK繃	短袖	退貨	墊
반팔	短袖	退貨	墊	步履
반품	退貨	墊	步履	發現
반하다	談戀愛	吸納	弄清	照亮
받아들이다	吸納	弄清	照亮	點亮
받침	墊	步履	發現	發給
발걸음	步履	發現	發給	腳步
발견	發現	發給	腳步	腳跟
발급	發給	腳步	腳跟	腳尖
발길	腳步	腳跟	腳尖	發育
발꿈치	腳跟	腳尖	發育	腳背
발끝	腳尖	發育	腳背	發明
발달	發育	腳背	發明	腳踝
발등	腳背	發明	腳踝	發生
발명	發明	腳踝	發生	發音
발목	腳踝	發生	發音	腳印
발생	發生	發音	腳印	發展
발음	發音	腳印	發展	趾甲
발자국	腳印	發展	趾甲	發表
발전	發展	趾甲	發表	發表會
발톱	趾甲	發表	發表會	發行
발표	發表	發表會	發行	栗子
발표회	發表會	發行	栗子	過夜
발행	發行	栗子	過夜	棕色的
밝혀내다	弄清	照亮	點亮	踩
밝혀지다	照亮	點亮	踩	被踐踏
밝히다	點亮	踩	被踐踏	通宵
밟다	踩	被踐踏	通宵	熬夜
밟히다	被踐踏	通宵	熬夜	沾上
밤	栗子	飯	房間	房門
밤낮	日日夜夜	本來	事實	正好
밤늦다	在深夜	餓	飽飽地	繁瑣
밤새	過夜	棕色的	午夜	飯碗
밤새다	通宵	熬夜	沾上	吐
밤새우다	熬夜	沾上	吐	支撐
밤색	棕色的	午夜	飯碗	食慾
밤중	午夜	飯碗	食慾	電鍋
밥그릇	飯碗	食慾	電鍋	方向
밥맛	食慾	電鍋	方向	地面
밥솥	電鍋	方向	地面	廣播公司
방면	方向	地面	廣播公司	方式
방바닥	地面	廣播公司	方式	方案
방송사	廣播公司	方式	方案	鈴鐺
방식	方式	方案	鈴鐺	預防
방안	方案	鈴鐺	預防	障礙
방울	鈴鐺	預防	障礙	背景
방지	預防	障礙	背景	排球
방해	障礙	背景	排球	肚臍
배경	背景	排球	肚臍	背包
배고프다	餓	飽飽地	繁瑣	熱鬧
배구	排球	肚臍	背包	背包旅行
배꼽	肚臍	背包	背包旅行	關懷
배낭	背包	背包旅行	關懷	配送
배낭여행	背包旅行	關懷	配送	伴侶
배다	沾上	吐	支撐	輪流
배려	關懷	配送	伴侶	送別
배부르다	飽飽地	繁瑣	熱鬧	任性
배송	配送	伴侶	送別	安排
배우자	伴侶	送別	安排	電池
배웅	送別	安排	電池	船運
배치	安排	電池	船運	包
배터리	電池	船運	包	內心
배편	船運	包	內心	香菇
백	包	內心	香菇	奶油
뱃속	內心	香菇	奶油	按鈕
뱉다	吐	支撐	輪流	拉開
버섯	香菇	奶油	按鈕	閃電
버터	奶油	按鈕	閃電	翻譯
버튼	按鈕	閃電	翻譯	門牌
버티다	支撐	輪流	拉開	裂
번갈다	輪流	拉開	裂	發生
번개	閃電	翻譯	門牌	號碼牌
번거롭다	繁瑣	熱鬧	任性	別的
번역	翻譯	門牌	號碼牌	蜜蜂
번지	門牌	號碼牌	蜜蜂	懲罰
번호표	號碼牌	蜜蜂	懲罰	罰金
번화하다	熱鬧	任性	別的	負擔
벌	蜜蜂	懲罰	罰金	蟲子
벌	懲罰	懲罰	罰金	蟲子
벌금	罰金	蟲子	範圍	犯人
벌떡	猛地	勤奮地	當然	清楚地
벌레	蟲子	範圍	犯人	犯罪
벌리다	拉開	裂	發生	開展
벌어지다	裂	發生	開展	扒
벌어지다	發生	發生	開展	扒
벌이다	開展	扒	出去	給
범위	範圍	犯人	犯罪	法律
범인	犯人	犯罪	法律	法院
범죄	犯罪	法律	法院	規則
법	法律	部門	-點	小時
법률	法律	法院	規則	枕頭
법원	法院	規則	枕頭	陽台
법적	合法的	部分的	否定的	批判的
법칙	規則	枕頭	陽台	長椅
벗기다	扒	出去	給	生病
벗어나다	出去	給	生病	照顧
베개	枕頭	陽台	長椅	鈴
베란다	陽台	長椅	鈴	腰帶
베풀다	給	生病	照顧	拜會
벤치	長椅	鈴	腰帶	水稻
벨	鈴	腰帶	水稻	掛鐘
벨트	腰帶	水稻	掛鐘	壁紙
벼	水稻	掛鐘	壁紙	變更
벽시계	掛鐘	壁紙	變更	波動
벽지	壁紙	變更	波動	辨解
변경	變更	波動	辨解	便秘
변덕스럽다	任性	別的	負擔	必然
변동	波動	辨解	便秘	改變
변명	辨解	便秘	改變	另外
변비	便秘	改變	另外	無話可說
변화	改變	另外	無話可說	暱稱
별	別的	三	二十	新衣
별다르다	別的	負擔	必然	不滿意
별도	另外	無話可說	暱稱	別的事
별말씀	無話可說	暱稱	別的事	病房
별명	暱稱	別的事	病房	報告
별일	別的事	病房	報告	這個
병들다	生病	照顧	拜會	怕羞
병실	病房	平時	報告	保管
보고	報告	報導	保管	普及
보고서	報告	保管	普及	樣子
보관	保管	普及	樣子	獎金
보급	普及	樣子	獎金	報導
보기	樣子	獎金	報導	價值
보너스	獎金	報導	價值	十五日
보도	報導	價值	十五日	滿月
보람	價值	十五日	滿月	大麥
보름	十五日	滿月	大麥	麥茶
보름달	滿月	大麥	麥茶	寶藏
보리	大麥	麥茶	寶藏	報酬
보리차	麥茶	寶藏	報酬	寶石
보물	寶藏	報酬	寶石	維修
보살피다	照顧	拜會	怕羞	碰到
보상	報酬	寶石	維修	安全
보석	寶石	維修	安全	改進
보수	維修	安全	改進	保障
보안	安全	改進	保障	保護
보완	改進	保障	保護	補助
보장	保障	保護	補助	保存
보전	保護	補助	保存	補充
보조	補助	保存	補充	行人
보존	保存	補充	行人	保險
보충	補充	行人	保險	保護
보행자	行人	保險	保護	福氣
보험	保險	保護	福氣	走廊
보호	保護	福氣	走廊	複印
복	福氣	走廊	複印	複印機
복도	走廊	複印	複印機	復仇
복사	複印	複印機	復仇	桃子
복사기	複印機	復仇	桃子	服用
복수	復仇	桃子	服用	腹痛
복숭아	桃子	服用	腹痛	炒
복용	服用	腹痛	炒	直覺
복통	腹痛	炒	直覺	總部
볶음	炒	直覺	總部	本質
본능	直覺	總部	本質	臉頰
본래	本來	事實	正好	現在
본부	總部	本質	臉頰	值得看的東西
본인	本人名義	自己	橫向	各自
본질	本質	臉頰	值得看的東西	保齡球
볼	臉頰	值得看的東西	保齡球	事
볼거리	值得看的東西	保齡球	事	志願
볼링	保齡球	事	志願	袋子
볼일	事	志願	袋子	財富
봉사	志願	袋子	財富	附近
봉지	袋子	財富	附近	恥辱
뵈다	拜會	怕羞	碰到	被撞
부	部門	附近	恥辱	負擔
부	財富	附近	恥辱	負擔
부-	不	附近	恥辱	負擔
부근	附近	恥辱	負擔	部隊
부끄러움	恥辱	負擔	部隊	房地產
부끄러워하다	怕羞	碰到	被撞	嫉妒
부담	負擔	部隊	房地產	父母
부담스럽다	負擔	必然	不滿意	新的
부대	部隊	房地產	父母	部門
부동산	房地產	父母	部門	負傷
부딪치다	碰到	被撞	嫉妒	斷
부딪히다	被撞	嫉妒	斷	顯現
부러워하다	嫉妒	斷	顯現	碎
부러지다	斷	顯現	碎	休息
부리다	顯現	碎	休息	盡管
부모	父母	部門	負傷	補助
부문	部門	負傷	部下	部位
부분적	部分的	否定的	批判的	善於交際的
부상	負傷	部門	部位	婦人
부서	部門	部位	婦人	父子
부서지다	碎	休息	盡管	引起
부수다	休息	盡管	引起	泡
부위	部位	婦人	父子	副作用
부인	婦人	富翁	部長	不足
부자	父子	部長	不足	請託
부작용	副作用	有錢人的房子	非法行為	否定
부잣집	有錢人的房子	非法行為	否定	不准確
부정	非法行為	否定	不准確	部族
부정	否定	否定	不准確	部族
부정적	否定的	批判的	善於交際的	私人的
부정확	不准確	部族	疏忽	扇子
부족	部族	請託	北邊	麵
부주의	疏忽	扇子	佛	靴子
부지런히	勤奮地	當然	清楚地	才
부채	扇子	佛	靴子	父親
부처	佛	靴子	父親	零件
부츠	靴子	父親	零件	北
부친	父親	零件	北	北美
부품	零件	北	北美	北方
북	北	北美	北方	憤怒
북미	北美	北方	憤怒	分裂
북부	北方	憤怒	分裂	分量
분노	憤怒	分裂	分量	分類
분단	分裂	分量	分類	分離
분량	分量	分類	分離	分析
분류	分類	分離	分析	分寸
분리	分離	分析	分寸	噴泉
분명	當然	清楚地	才	雖然
분명히	清楚地	才	雖然	全部
분석	分析	分寸	噴泉	丟失
분수	分寸	噴泉	丟失	遺失物
분수	噴泉	噴泉	丟失	遺失物
분실	丟失	遺失物	領域	分布
분실물	遺失物	領域	分布	粉筆
분야	領域	分布	粉筆	不能
분포	分布	粉筆	不能	不可能
분필	粉筆	不能	不可能	佛教
불-	不	有	無	勿
불가	不能	不可能	佛教	不規律的
불가능	不可能	佛教	不規律的	不平衡
불가피하다	必然	不滿意	新的	涼爽
불교	佛教	不規律的	不平衡	火花
불구하다	盡管	引起	泡	吹來
불규칙	不規律的	不平衡	火花	不利
불균형	不平衡	火花	不利	不滿意
불꽃	火花	不利	不滿意	火災
불러일으키다	引起	泡	吹來	擠滿
불리	不利	不理	不滿意	非法的
불리다	泡	吹來	擠滿	腫
불만	不滿意	滿意	非法的	燈光
불만족	不滿意	非法的	燈光	法語
불만족스럽다	不滿意	新的	涼爽	感到失望
불법	非法的	燈光	法語	不完美
불빛	燈光	法語	不完美	損害
불어	法語	不完美	損害	不足
불어오다	吹來	擠滿	腫	倒
불완전	不完美	損害	不足	刻薄
불이익	損害	不足	刻薄	不適
불충분	不足	刻薄	不適	不滿
불친절	刻薄	不適	不滿	不平等
불쾌	不適	不滿	不平等	不必要
불평	不滿	不平等	不必要	不幸
불평등	不平等	不必要	不幸	不確定
불필요	不必要	不幸	不確定	自助餐
불행	不幸	不確定	自助餐	秘訣
불확실	不確定	自助餐	秘訣	悲劇
붐비다	擠滿	腫	倒	捉住
붓다	腫	倒	捉住	消
붓다	倒	倒	捉住	消
붙들다	捉住	放掉	戲弄	打成（平手）
붙잡다	捉住	捕捉	打成（平手）	來自
붙잡히다	捕捉	打成（平手）	來自	才有
뷔페	自助餐	秘訣	悲劇	批評
비-	非	有	無	補
비결	秘訣	悲劇	批評	塑膠袋
비교적	比較	各國	幾乎	一直
비극	悲劇	批評	塑膠袋	肥胖
비기다	打成（平手）	來自	才有	揉
비난	批評	塑膠袋	肥胖	悲鳴
비닐	塑膠袋	肥胖	悲鳴	密碼
비로소	才	雖然	全部	新買的
비록	雖然	全部	新買的	彼此
비롯되다	來自	才有	揉	清空
비롯하다	才有	揉	清空	拿...開玩笑
비만	肥胖	悲鳴	密碼	暴雨
비명	悲鳴	密碼	暴雨	秘密
비밀번호	密碼	暴雨	秘密	緊急
비바람	暴雨	秘密	緊急	緊急出口
비법	秘密	緊急	緊急出口	成本
비비다	揉	清空	拿...開玩笑	照射
비상	緊急	緊急出口	成本	比喻
비상구	緊急出口	成本	比喻	比率
비용	成本	比喻	比率	簽證
비우다	清空	拿...開玩笑	照射	映射
비웃다	拿...開玩笑	照射	映射	讓出
비유	比喻	比率	簽證	比重
비율	比率	簽證	比重	維他命
비자	簽證	比重	維他命	批評
비중	比重	維他命	批評	飛行
비추다	照射	映射	讓出	搖搖晃晃
비치다	映射	讓出	搖搖晃晃	比較
비키다	讓出	搖搖晃晃	比較	許（願）
비타민	維他命	批評	飛行	機場
비틀거리다	搖搖晃晃	比較	許（願）	梳
비판	批評	飛行	機場	空位
비판적	批判的	善於交際的	私人的	社會的
비하다	比較	許（願）	梳	模具
비행	飛行	機場	空位	梳子
비행장	機場	空位	梳子	下雨的路
빈자리	空位	梳子	下雨的路	雨水
빌다	許（願）	梳	模具	閃耀
빗	梳子	下雨的路	雨水	雨滴
빗길	下雨的路	雨水	雨滴	債務
빗다	梳	模具	閃耀	錯過
빗물	雨水	雨滴	債務	光
빗방울	雨滴	債務	光	顏色
빚	債務	光	顏色	紅色的
빚다	模具	閃耀	錯過	逃出去
빛	光	顏色	紅色的	臉頰
빛깔	顏色	紅色的	臉頰	骨
빛나다	閃耀	錯過	逃出去	逃出來
빠뜨리다	錯過	逃出去	逃出來	掉
빠져나가다	逃出去	逃出來	掉	掉進
빠져나오다	逃出來	掉	掉進	變紅
빠지다	掉	洗	拔	撿
빠짐없이	全部	新買的	彼此	偷偷溜出去
빠트리다	掉進	變紅	吸	摘下
빨강	紅色的	臉頰	骨	吻
빨개지다	變紅	吸	摘下	被搶
빨다	吸	快	拔	送回
빼놓다	摘下	放手	被搶	搶
빼앗기다	被搶	犯	搶	長出
빼앗다	被搶	搶	長出	被拔
뺏다	搶	長出	被拔	灑落
뺨	臉頰	骨	吻	根
뻗다	長出	被拔	灑落	甩開
뼈	骨	吻	根	四月
뽀뽀	吻	根	四月	三月
뽑히다	被拔	灑落	甩開	扭傷
뿌리	根	四月	三月	星期三
뿌리다	灑落	甩開	扭傷	交
뿌리치다	甩開	扭傷	交	買
삐다	扭傷	交	買	住
사건	事件	思維方式	道歉	詐欺
사고방식	思維方式	道歉	詐欺	男子漢
사과	道歉	人	愛情	辦公室
사교적	善於交際的	私人的	社會的	相對的
사기	詐欺	購買	男子漢	打獵
사나이	男子漢	媳婦	打獵	實例
사내	男子漢	打獵	實例	私立
사냥	打獵	實例	私立	沙漠
사들이다	買	消失	捉住	簽名
사라지다	消失	捉住	簽名	救
사랑스럽다	迷人的	瑣碎的	相處	無闗的
사례	實例	私立	沙漠	死的
사로잡다	捉住	簽名	救	過日子
사립	私立	沙漠	死的	事務
사막	沙漠	死的	事務	事務所
사망	死的	事務	事務所	技術職
사무	事務	事務所	技術職	事物
사무소	事務所	技術職	事物	四處
사무직	技術職	事物	四處	史上
사물	事物	四處	史上	私生活
사방	四處	史上	私生活	社論
사상	史上	私生活	社論	企業家
사생활	私生活	社論	企業家	營業
사설	社論	企業家	營業	事情原委
사소하다	瑣碎的	相處	無闗的	相當
사업가	企業家	營業	事情原委	使用費
사업자	營業	事情原委	使用費	使用法
사연	事情原委	使用費	使用法	用戶
사용료	使用費	使用法	用戶	桑拿
사용법	使用法	用戶	桑拿	四周圍
사용자	用戶	桑拿	四周圍	網路
사우나	桑拿	四周圍	網路	網站
사위	四周圍	網路	網站	獅子
사이버	網路	網站	獅子	字典
사이좋다	相處	無闗的	相當	暢快
사이트	網站	獅子	字典	事前
사인	簽名	救	過日子	活過來
사자	獅子	字典	事前	情況
사적	私人的	社會的	相對的	成功的
사전	字典	照片	糖果	三天
사전	事前	照片	糖果	三天
사정	情況	照相館	相片集	表
사진관	照相館	相片集	表	青春期
사진첩	相片集	表	青春期	事態
사촌	表	青春期	事態	方言
사춘기	青春期	事態	方言	辭呈
사태	事態	方言	辭呈	事項
사투리	方言	辭呈	事項	社會
사표	辭呈	事項	社會	社會生活
사항	事項	社會	社會生活	主持人
사회	社會	社會生活	主持人	刪除
사회생활	社會生活	主持人	刪除	山路
사회자	主持人	刪除	山路	山頂
사회적	社會的	相對的	成功的	世界的
삭제	刪除	山路	山頂	森林火災
산길	山路	山頂	森林火災	在群山中
산꼭대기	山頂	森林火災	在群山中	產業
산불	森林火災	在群山中	產業	成家
산속	在群山中	產業	成家	謀殺
산업	產業	成家	謀殺	生活
살리다	救	過日子	活過來	存活
살림	成家	謀殺	生活	獎
살아가다	過日子	活過來	存活	活下來
살아나다	活過來	存活	活下來	變胖
살아남다	存活	活下來	變胖	查看
살아오다	活下來	變胖	查看	死亡
살인	謀殺	生活	獎	桌
살짝	偷偷溜出去	沒有關係	相當	重新
살찌다	變胖	變高	查看	熬
살펴보다	查看	捕捉	熬	娶
살피다	查看	熬	娶	吞下
삶	生活	獎	桌	店鋪
삶다	熬	娶	吞下	腐爛
삼다	娶	吞下	腐爛	雕刻
삼키다	吞下	腐爛	雕刻	漏
상	獎	箱	傷口	生菜
상	桌	箱	傷口	生菜
상가	店鋪	相關	賞金	諮詢
상관	相關	賞金	諮詢	諮詢室
상관없다	無闗的	相當	暢快	與眾不同
상관없이	沒有關係	相當	重新	要緊
상금	賞金	諮詢	諮詢室	顧問
상담	諮詢	諮詢室	顧問	對手
상담실	諮詢室	顧問	對手	意外
상담원	顧問	上司	對手	對方
상당하다	相當	暢快	與眾不同	生動
상당히	相當	很少	重新	慢慢地
상대	對手	上級	上方	上游
상대방	對手	對方	上游	上半年
상대적	相對的	成功的	世界的	被動的
상대편	對方	上游	上半年	上司
상류	上游	上半年	上司	想像
상반기	上半年	上司	想像	想像力
상사	上司	想像	想像力	上升
상상	想像	想像力	上升	常識
상상력	想像力	上升	常識	商業
상승	上升	常識	商業	上映
상식	常識	商業	上映	店鋪
상업	商業	上映	店鋪	象徵
상영	上映	店鋪	象徵	狀態
상점	店鋪	象徵	狀態	上下
상징	象徵	狀態	上下	情況
상쾌하다	暢快	與眾不同	生動	涼爽
상태	狀態	上下	情況	內
상하	上下	情況	內	小子
상하다	腐爛	雕刻	漏	亮
상황	情況	內	小子	後媽
새	內	三四個	消極的	大約
새기다	雕刻	漏	亮	熬
새끼	小子	後媽	蝦	新房子
새다	漏	亮	熬	出現
새다	亮	亮	熬	出現
새로이	重新	舊的	慢慢地	恐怕
새삼	重新	慢慢地	恐怕	珍惜
새엄마	後媽	蝦	新房子	涼鞋
새우	蝦	新房子	涼鞋	活力
새우다	熬	出現	夾雜	激動
새집	新房子	涼鞋	活力	長相
색다르다	與眾不同	生動	涼爽	傷心
샌들	涼鞋	活力	長相	出生日期
생겨나다	出現	夾雜	激動	成立
생기	活力	長相	出生日期	省略
생김새	長相	出生日期	省略	直髮
생년월일	出生日期	省略	直髮	生命
생략	省略	直髮	生命	現場直播
생머리	直髮	生命	現場直播	生產
생명	生命	現場直播	生產	生存
생방송	現場直播	生產	生存	生活開銷
생산	生產	生存	生活開銷	生活用品
생생하다	生動	涼爽	傷心	生氣
생존	生存	生活開銷	生活用品	洗髮水
생활비	生活開銷	生活用品	洗髮水	西
생활용품	生活用品	洗髮水	西	簽名
샴푸	洗髮水	西	簽名	西部
서	西	簽名	西部	西洋
서넛	三四個	五	五六	萬
서늘하다	涼爽	熱	傷心	笨拙
서럽다	傷心	開心	笨拙	孤獨
서명	簽名	西部	西洋	書籍
서부	西部	西洋	書籍	石油
서서히	慢慢地	恐怕	珍惜	老實說
서양인	西洋	書籍	石油	線
서운하다	傷心	高興	笨拙	時髦的
서적	書籍	石油	線	選舉
서투르다	笨拙	孤獨	時髦的	沒用
서툴다	笨拙	時髦的	沒用	疏忽
석유	石油	線	選舉	太陽眼鏡
섞이다	夾雜	激動	成立	數
선	線	選舉	太陽眼鏡	先約
선거	選舉	太陽眼鏡	先約	宣傳
선글라스	太陽眼鏡	先約	宣傳	選定
선약	先約	宣傳	選定	先進
선전	宣傳	選定	先進	先進國
선정	選定	先進	先進國	偏愛
선진	先進	先進國	偏愛	新年
선진국	先進國	偏愛	新年	說服
선호	偏愛	新年	說服	成立
설	新年	說服	成立	說明書
설득	說服	成立	說明書	問卷
설레다	激動	成立	數	吆喝
설립	成立	說明書	問卷	催
설마	恐怕	珍惜	老實說	頻繁地
설명서	說明書	署名	問卷	腹瀉
설문	問卷	聽說	腹瀉	設定
설문지	問卷	腹瀉	設定	安裝
설사	腹瀉	設定	安裝	攝氏
설정	設定	安裝	攝氏	結果
설치	安裝	攝氏	結果	教堂
섭씨	攝氏	結果	教堂	姓名
성공적	成功的	世界的	被動的	瞬間
성과	結果	教堂	姓名	性別
성당	教堂	姓名	性別	成熟
성립	成立	數	吆喝	傳聞
성명	姓名	性別	成熟	誠實
성별	性別	成熟	誠實	成人
성숙	成熟	誠實	成人	生長
성실	誠實	成人	生長	成績單
성인	成人	生長	成績單	脾氣
성장	生長	成績單	脾氣	全球化
성적표	成績單	脾氣	全球化	稅
성질	脾氣	全球化	稅	世紀
세계적	世界的	被動的	瞬間	身體的
세계화	全球化	稅	世紀	時代
세금	稅	世紀	時代	家口，住戶
세기	世紀	時代	家口，住戶	勢力
세다	數	吆喝	傳聞	受騙
세대	時代	家口，住戶	勢力	緃向
세대	家口，住戶	家口，住戶	勢力	緃向
세력	勢力	緃向	三角形	研討會
세련되다	時髦的	沒用	疏忽	受傷
세로	緃向	三角形	研討會	歲月
세모	三角形	研討會	歲月	銷售
세미나	研討會	歲月	銷售	洗滌劑
세월	歲月	銷售	洗滌劑	洗車
세일	銷售	洗滌劑	洗車	洗衣物
세제	洗滌劑	洗車	洗衣物	一套
세차	洗車	洗衣物	一套	襯衫
세탁물	洗衣物	一套	襯衫	感想
세트	一套	襯衫	感想	相親
센티	厘米	公尺	公斤	公克
셔츠	襯衫	感想	相親	小規模
소-	小	大	有	無
소감	感想	相親	小規模	小劇場
소개팅	相親	小規模	小劇場	鹽水
소규모	小規模	小劇場	鹽水	陣雨
소극장	小劇場	鹽水	陣雨	松樹
소극적	消極的	大約	任何	什麼
소금물	鹽水	陣雨	松樹	姑娘
소나기	陣雨	松樹	姑娘	少年
소나무	松樹	姑娘	少年	消毒
소녀	姑娘	少年	消毒	消毒藥
소년	少年	消毒	消毒藥	收入
소독	消毒	消毒藥	收入	願望
소독약	消毒藥	收入	願望	袖子
소득	收入	願望	袖子	謠言
소리치다	吆喝	傳聞	受騙	欺騙
소망	願望	袖子	謠言	消防隊員
소매	袖子	謠言	消防隊員	消防局
소문	謠言	消防隊員	消防局	消防車
소문나다	傳聞	受騙	欺騙	屬於
소방관	消防隊員	消防局	消防車	小便
소방서	消防局	消防車	小便	消費
소방차	消防車	小便	消費	消費者
소변	小便	消費	消費者	小說家
소비	消費	消費者	小說家	小說
소비자	消費者	小說家	小說	少數
소설가	小說家	小說	少數	醬
소설책	小說	少數	醬	香腸
소수	少數	醬	香腸	兒科
소스	醬	香腸	兒科	需要
소시지	香腸	兒科	需要	用處
소아과	兒科	需要	用處	希望
소요	需要	用處	希望	擁有
소용	用處	希望	擁有	噪音
소용없다	沒用	疏忽	受傷	簡單
소원	希望	擁有	噪音	素材
소유	擁有	噪音	素材	隨身物品
소음	噪音	素材	隨身物品	小型
소재	素材	隨身物品	小型	消化
소중히	珍惜	老實說	頻繁地	無數
소지품	隨身物品	小型	消化	睫毛
소형	小型	消化	睫毛	諺語
소홀하다	疏忽	受傷	簡單	誠實的
소화	消化	睫毛	諺語	內心話
속눈썹	睫毛	諺語	內心話	手提包
속다	受騙	欺騙	屬於	牽手
속담	諺語	內心話	手提包	援手
속마음	內心話	手提包	援手	指尖
속상하다	受傷	簡單	誠實的	很多的
속이다	欺騙	屬於	牽手	飛漲
속하다	屬於	牽手	飛漲	低
손가방	手提包	援手	指尖	手背
손길	援手	指尖	手背	手腕
손끝	指尖	手背	手腕	手錶
손등	手背	手腕	手錶	手腳
손목	手腕	手錶	手腳	拍手
손목시계	手錶	手腳	拍手	孫子
손발	手腳	拍手	孫子	扶手
손뼉	拍手	孫子	扶手	修整
손쉽다	簡單	誠實的	很多的	純真
손자	孫子	扶手	修整	指甲
손잡다	牽手	飛漲	低	隱藏
손잡이	扶手	修整	指甲	損害
손질	修整	指甲	損害	手藝
손톱	指甲	損害	手藝	歡送會
손해	損害	手藝	歡送會	小牛
솔직하다	誠實的	很多的	純真	說謊
솔직히	老實說	頻繁地	無數	迅速地
솜씨	手藝	歡送會	小牛	松茸
솟다	飛漲	低	隱藏	躲
송별회	歡送會	小牛	松茸	鐵銹
송아지	小牛	松茸	鐵銹	牛肉
송이	松茸	鐵銹	牛肉	表演
쇠	鐵銹	牛肉	表演	購物中心
쇠고기	牛肉	豬肉	魚肉	羊肉
쇼	表演	修	購物中心	水：星期三
쇼핑몰	購物中心	購買	水：星期三	很多年
쇼핑센터	購物中心	水：星期三	很多年	嘮叨
수	水：星期三	毛巾	辛苦	西瓜
수년	很多年	嘮叨	手段	水管
수다	嘮叨	手段	水管	首都
수단	手段	水管	首都	都市區
수도	水管	首都	都市區	水龍頭
수도	首都	首都	都市區	水龍頭
수도권	都市區	水龍頭	自來水	數量
수도꼭지	水龍頭	自來水	數量	托人修理
수돗물	自來水	數量	托人修理	付修理費
수동적	被動的	瞬間	身體的	有用
수량	數量	托人修理	付修理費	睡眠
수리	托人修理	付修理費	睡眠	安眠藥
수리비	付修理費	睡眠	安眠藥	壽命
수만	幾萬元	幾百隻	幾十個	幾千名
수많다	很多的	很少	純真	溫和的
수면	睡眠	安眠藥	壽命	調查
수면제	安眠藥	壽命	調查	首相
수명	壽命	調查	首相	修繕
수백	幾百隻	幾十個	幾千名	億
수사	調查	首相	修繕	手續
수상	首相	修繕	手續	謎語
수선	修繕	手續	謎語	手續費
수속	手續	謎語	手續費	需求
수수께끼	謎語	手續費	需求	接受
수수료	手續費	需求	接受	收入
수시로	頻繁地	無數	迅速地	實際上
수십	幾十個	幾千名	億	八
수없이	無數	迅速地	實際上	事實上
수요	需求	接受	收入	輸入
수용	接受	收入	輸入	輸入品
수입	收入	輸入	輸入品	更正
수입	輸入	輸入	輸入品	更正
수입품	輸入品	更正	等級	收藏
수정	更正	等級	收藏	輸出
수준	等級	收藏	輸出	支票
수집	收藏	輸出	支票	數學
수천	幾千名	億	八	八十
수출	輸出	支票	數學	履行
수표	支票	數學	履行	淑女
수학	數學	履行	淑女	住宿
수행	履行	淑女	住宿	房錢
숙녀	淑女	住宿	房錢	少年
숙박	住宿	房錢	租	片刻
숙박비	房錢	住宿	片刻	瞬間
숙소	住宿	片刻	瞬間	排行
숙이다	低	隱藏	躲	喪生
순간	片刻	瞬間	排行	酒瓶
순간적	瞬間	身體的	有用	心理
순수하다	純真	孤獨	溫和的	潮濕
순식간	瞬間	排行	酒瓶	酒會
순위	排行	酒瓶	酒會	酒杯
순진하다	純真	溫和的	潮濕	驚人的
순하다	溫和的	潮濕	驚人的	嚴重
술병	酒瓶	酒會	酒杯	呼吸
술자리	酒會	酒杯	呼吸	碗
술잔	酒杯	受傷	呼吸	樹林
숨	呼吸	生命	樹林	超市
숨기다	隱藏	躲	喪生	啞
숨다	躲	喪生	啞	擦過
숨소리	呼吸	樹林	超市	師父
숨지다	喪生	啞	擦過	折磨
숲	樹林	超市	師父	開關
쉬다	啞	喘息	悲傷	安排
쉿	噓	不是	啊	好
슈퍼	超市	師父	開關	短裙
스님	師父	開關	短裙	行程
